,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2286624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,228679C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2284835,12,12,12,12,9,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,226D073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,9,0
4,226D0BA,12,12,12,12,12,12,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
5,2282988,12,12,12,9,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,9,0
6,228623F,12,12,12,12,12,12,12,12,6,0,0,0,0,0,0,0,0,0,7,12,11,12,12,12,12,11,12,11,12,9,0
7,861B00,12,12,12,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,7,12,12,12,12,9,12,12,12,12,12,13,0
8,226D2E4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0
9,2286202,12,12,12,12,12,12,12,12,6,0,0,0,0,0,0,0,0,0,7,7,11,9,10,12,11,12,12,11,12,11,0
10,228664D,12,12,12,12,12,12,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0
11,8618CC,12,12,12,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,4,12,12,12,12,12,9,6,12,12,12,12,0
12,861D23,12,12,9,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0
13,226D2D4,12,12,12,12,12,12,12,12,6,0,0,0,0,0,0,0,0,0,7,12,10,11,12,12,12,12,12,12,12,12,0
14,2286897,12,12,12,12,10,11,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0
15,2283798,12,12,12,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0
16,861F1A,12,12,12,12,12,12,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,10,0
17,226CA34,12,12,9,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0
18,228665E,12,12,12,12,12,12,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0
19,86AA94,12,12,12,12,12,12,12,12,9,0,0,0,0,0,0,0,0,0,7,13,12,12,12,12,12,12,12,12,12,12,0
